workload,backend,round,order,variant,wall_ms,traversal_us,aggregation_us,entries_per_second,files,directories,duplicate_hard_links,logical_bytes,allocated_bytes,skipped_entries
controlled_hardlinks,statx,9,2,candidate,12.250238,11641,563,4106205.936570375,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,10,1,candidate,13.560356,13211,314,3709489.6328680455,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,10,2,baseline,11.299349,10918,349,4451760.893481563,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,11,1,baseline,10.951101,10590,324,4593328.104635324,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,11,2,candidate,9.720487,9449,245,5174843.606086815,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,12,1,candidate,9.064276,8786,251,5549477.972647788,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,12,2,baseline,13.599472,13211,331,3698820.071838083,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,13,1,baseline,14.264807,13879,348,3526300.776449342,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,13,2,candidate,8.599029,8313,257,5849730.242798344,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,14,1,candidate,12.76303,12414,319,3941227.1223996184,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,14,2,baseline,11.123179,10753,341,4522268.319155881,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,15,1,baseline,11.868026,11159,673,4238447.067776899,50100,202,50000,409600,409600,0
controlled_hardlinks,statx,15,2,candidate,10.445357000000001,9789,618,4815728.1747287335,50100,202,50000,409600,409600,0
development_workspace,jwalk,1,1,baseline,125.878719,122421,3033,3463333.6235332997,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,1,2,candidate,123.988383,120373,3120,3516135.862502538,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,2,1,candidate,130.989218,127470,3372,3328212.861000514,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,2,2,baseline,124.90807,121409,3038,3490246.8671559813,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,3,1,baseline,129.948384,126446,2993,3354870.4999671252,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,3,2,candidate,123.167126,119313,3426,3539580.8456227193,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,4,1,candidate,124.273764,120506,3250,3508061.4440872655,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,4,2,baseline,127.49047499999999,124118,2903,3419549.578115542,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,5,1,baseline,137.249091,131888,4645,3176414.479859834,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,5,2,candidate,122.62390500000001,119122,2960,3555261.105083874,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,6,1,candidate,121.451785,117833,3080,3589572.6028234167,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,6,2,baseline,126.98815599999999,123504,3016,3433076.0736457976,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,7,1,baseline,127.08609400000002,123451,3437,3430430.397837233,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,7,2,candidate,123.70700699999999,120303,2944,3524133.4389409325,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,8,1,candidate,123.52825200000001,120321,3040,3529233.1344573707,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,8,2,baseline,130.52372400000002,126732,3024,3340082.4512178334,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,9,1,baseline,124.705386,121156,3036,3495919.5747968736,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,9,2,candidate,123.63156000000001,120155,2970,3526284.0653308914,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,10,1,candidate,119.17868,115654,2942,3658036.823364716,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,10,2,baseline,130.050375,126595,2956,3352239.468744323,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,11,1,baseline,133.284018,129596,3217,3270909.7950513465,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,11,2,candidate,118.112972,115055,2927,3691042.504628535,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,12,1,candidate,119.47916000000001,115802,3182,3648837.169595099,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,12,2,baseline,124.361036,121004,2953,3505599.6156223724,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,13,1,baseline,124.865223,121523,2916,3491444.5313568213,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,13,2,candidate,121.450379,117718,3068,3589614.1583880936,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,14,1,candidate,122.240402,118565,3171,3566414.973013587,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,14,2,baseline,139.37546,135438,3430,3127953.8019103217,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,15,1,baseline,127.562899,123688,3470,3417608.1244437695,389915,46045,41660,83722226217,84615618560,0
development_workspace,jwalk,15,2,candidate,121.190906,117647,3047,3597299.619164494,389915,46045,41660,83722226217,84615618560,0
